,area,latitude,longitude,bedrooms,bathrooms,balcony,ready_to_move,new_housing,parking,lift,flat_or_individual,furnished_status_Semi-Furnished,furnished_status_Unfurnished
0,1000,19.1733748299616,72.8684461800584,2,2,0,1,0,0,0,1,0,1
1,750,19.29254150390625,72.87764739990234,2,2,3,1,1,3,3,1,1,0
2,1130,19.2897038254961,72.8707605254938,2,2,2,1,0,2,2,1,0,1
3,700,19.234639,73.16113399999999,2,2,0,1,0,0,0,1,0,0
4,1280,19.2930385,72.877269,3,3,5,1,0,5,5,1,0,1
5,630,19.1499462,72.9422345,2,2,1,1,0,1,1,1,0,1
6,1100,19.0266983,72.85302490000001,3,3,0,1,0,0,0,1,0,1
7,1090,19.157011,72.95030600000001,2,2,0,1,0,0,0,1,0,1
8,1450,19.1173012,72.8840395,3,3,0,1,0,0,0,1,0,1
9,1100,19.20580673217773,72.83200073242188,3,3,1,1,0,1,1,1,0,0
10,814,19.145302831121302,72.9338796436433,2,2,2,1,0,2,2,1,0,1
11,1175,19.233531951904297,72.83919525146484,3,3,1,1,0,1,1,1,1,0
12,865,19.149900436401367,72.93113708496094,2,2,1,1,0,1,1,1,1,0
13,950,19.2539332,72.8672448,2,2,0,1,0,0,0,1,0,0
14,1125,19.026734,72.85534100000001,2,2,0,1,0,0,0,1,0,1
15,970,19.149900436401367,72.93113708496094,2,2,0,1,0,0,0,1,1,0
16,1000,19.07907,72.907976,2,2,0,1,0,0,0,1,1,0
17,600,19.282241600000003,72.8705704,2,2,0,1,0,0,0,1,0,1
18,750,19.0327996,72.89635679999999,2,2,0,1,0,0,0,1,0,0
19,800,18.9439272,72.836039,2,2,0,1,0,0,0,0,0,1
20,750,19.17418,72.87465,2,2,0,1,0,0,0,1,0,0
21,855,19.3448747,72.86786,2,2,3,1,0,3,3,1,0,1
22,820,19.4406134,72.7903032,2,2,2,1,0,2,2,1,0,1
23,850,18.970388412475582,72.80427551269531,2,2,0,1,0,0,0,1,1,0
24,1575,19.0774603,72.884851,3,3,5,1,0,5,5,1,0,1
25,1800,19.119198,72.894366,3,3,1,1,0,1,1,1,0,1
26,1200,19.210841,72.8755987441594,3,3,1,1,1,1,1,1,0,1
27,900,19.22793,72.83221999999999,2,2,0,1,0,0,0,1,0,1
28,600,19.070726,72.836127,2,2,0,1,0,0,0,0,1,0
29,835,19.1521505223216,72.84421921133621,2,2,3,1,0,3,3,1,0,1
30,1000,19.015830993652344,72.82939147949219,2,2,0,1,0,0,0,0,0,1
31,1200,19.136807,72.930675,2,2,0,1,1,0,0,1,0,1
32,805,19.28217,72.87654,2,2,1,1,0,1,1,1,1,0
33,624,19.1889733,72.8220064,2,2,0,1,1,0,0,1,0,1
34,1280,19.1297376,72.8291555,3,3,0,1,0,0,0,1,0,0
35,830,19.21404838562012,72.85525512695312,2,2,2,1,0,2,2,1,0,0
36,950,19.28217,72.87654,2,2,3,1,0,3,3,1,0,1
37,750,19.030242919921875,72.866943359375,2,2,0,1,1,0,0,1,1,0
38,950,19.057437,72.905785,2,2,0,1,1,0,0,1,0,1
39,1080,19.083399,72.91521,2,2,0,1,0,0,0,1,0,1
40,825,19.100841,72.911105,2,2,0,1,0,0,0,1,0,1
41,1650,19.11937522888184,72.8646011352539,3,3,3,1,0,3,3,1,1,0
42,1130,19.25231421,72.85078722,3,3,0,1,0,0,0,1,0,1
43,850,19.208133,72.841527,2,2,0,1,0,0,0,1,0,1
44,730,19.39954,72.8604165,2,2,3,1,0,3,3,1,1,0
45,955,19.28217,72.87654,2,2,2,1,0,2,2,1,0,1
46,1128,19.153724,72.844521,3,3,0,1,0,0,0,1,1,0
47,840,19.0732695,72.8627475,2,2,1,1,0,1,1,1,0,1
48,970,19.180237,72.85541490000001,2,2,0,1,0,0,0,1,0,0
49,950,19.13735580444336,72.83695220947266,2,2,0,1,0,0,0,1,0,0
50,800,19.16664,72.95915,2,2,0,1,0,0,0,0,0,1
51,765,19.1054406,72.8411208,2,2,0,1,0,0,0,1,0,0
52,634,19.136642456054688,72.93113708496094,2,2,0,1,0,0,0,1,0,1
53,700,18.992092,72.829684,2,2,0,1,0,0,0,1,0,0
54,740,19.2099437,72.83086920000001,2,2,0,1,0,0,0,1,1,0
55,1130,19.052171,72.879512,2,2,5,1,0,5,5,1,0,0
56,750,19.2335321,72.839198,2,2,0,1,0,0,0,1,0,0
57,980,19.2099437,72.83086920000001,2,2,0,1,0,0,0,1,0,1
58,934,19.1698562,72.9422161,2,2,0,1,0,0,0,0,0,1
59,604,19.470854,72.80226,2,2,0,1,0,0,0,1,0,1
60,1031,19.16885607,72.87786054,2,2,0,1,1,0,0,1,0,1
61,825,19.4700893,72.80323448,2,2,2,1,1,2,2,1,0,1
62,1700,19.2099437,72.83086920000001,2,2,0,1,0,0,0,0,0,0
63,1150,19.0151285,72.8580644,3,3,0,1,0,0,0,1,0,0
64,750,19.28217,72.87654,2,2,4,1,0,4,4,1,0,1
65,1175,19.1123328,72.866972,3,3,0,1,0,0,0,1,0,0
66,1400,19.1889733,72.8220064,3,3,0,1,0,0,0,1,0,1
67,740,19.0913361,72.91716290000001,2,2,2,1,0,2,2,1,0,1
68,800,19.033727645874023,72.85918426513672,2,2,1,1,0,1,1,0,1,0
69,1260,19.28217,72.87654,2,3,0,1,0,0,0,1,1,0
70,800,19.30939292907715,72.84859466552734,2,2,0,1,0,0,0,0,0,1
71,721,19.068050384521484,72.89604949951172,2,2,0,1,1,0,0,1,0,1
72,850,19.2783121,72.8580188,2,2,0,1,0,0,0,1,0,1
73,750,19.140512466430664,72.84215545654297,2,2,0,1,0,0,0,1,0,0
74,940,19.0763865,72.85192740000001,2,2,0,1,0,0,0,1,0,1
75,850,19.25006,72.84921,2,2,2,1,0,2,2,1,0,1
76,665,19.1297376,72.8291555,2,2,0,1,0,0,0,0,0,1
77,650,19.22793,72.83221999999999,2,2,0,1,0,0,0,1,1,0
78,1000,19.040233,72.8601801,2,2,0,1,1,0,0,1,0,1
79,1026,19.2996583333333,72.8704216666667,2,2,4,1,1,4,4,1,0,1
80,892,19.2335321,72.839198,3,3,0,1,0,0,0,1,0,1
81,702,19.11892318725586,72.86404418945312,2,2,0,1,0,0,0,1,1,0
82,775,19.226466,72.846721,2,2,2,1,1,2,2,1,0,1
83,945,19.1297376,72.8291555,2,2,0,1,0,0,0,1,0,1
84,650,19.15381050109864,72.95048522949219,2,2,0,1,0,0,0,1,0,0
85,700,19.20580673217773,72.83200073242188,2,2,1,1,0,1,1,0,0,0
86,1000,19.1297376,72.8291555,2,2,0,1,0,0,0,1,1,0
87,900,18.961389541625977,72.83798217773438,2,2,0,1,0,0,0,1,0,0
88,1200,19.1771773695655,72.9600928443916,3,2,3,1,0,3,3,1,0,1
89,748,19.10005168,72.88491275,2,2,0,1,1,0,0,1,0,1
90,800,19.22161,72.83109,2,2,1,1,0,1,1,1,0,1
91,1280,19.1462121,72.85349609999999,2,2,0,1,1,0,0,1,0,1
92,900,19.282169342041016,72.87654113769531,2,2,3,1,0,3,3,1,1,0
93,1400,18.950754,72.80206379999998,4,3,0,1,0,0,0,1,0,1
94,1490,19.1040673,72.91767840000001,3,3,0,1,0,0,0,1,0,1
95,1370,19.1746739,72.94310379999999,3,3,0,1,0,0,0,1,1,0
96,900,19.14801406860352,72.84228515625,2,2,0,1,0,0,0,1,1,0
97,920,19.0810128,72.8500709,2,2,0,1,0,0,0,1,0,1
98,1135,19.077063,72.8840395,2,3,1,1,0,1,1,1,0,1
99,1412,19.29123434,72.87967664,3,3,5,1,1,5,5,1,0,1
100,1491,19.09846862,72.88613072,3,3,1,1,0,1,1,1,0,1
101,1026,19.16918563842773,72.9357681274414,2,2,0,1,1,0,0,1,0,1
102,672,19.4540588,72.7688226,2,2,0,1,0,0,0,1,0,1
103,1050,19.09080696105957,72.90766906738281,3,2,0,1,0,0,0,1,0,0
104,1500,19.149901,72.931134,4,4,0,1,0,0,0,1,1,0
105,700,19.209943771362305,72.83087158203125,2,2,2,1,0,2,2,1,1,0
106,650,19.1411492,72.8258196,2,2,0,1,0,0,0,1,0,1
107,765,19.07907,72.907976,2,2,0,1,0,0,0,1,1,0
108,1690,19.182524,72.848711,2,2,0,1,0,0,0,1,0,0
109,885,19.161448869898,72.8352649724546,2,2,0,1,0,0,0,1,0,1
110,1150,19.3693345,72.806127,3,3,0,1,0,0,0,1,1,0
111,1820,19.03953742980957,72.89562225341797,2,3,0,1,0,0,0,1,0,1
112,1150,19.174673080444336,72.94310760498047,3,4,0,1,0,0,0,1,0,0
113,1165,19.099262,72.918103,3,3,3,1,0,3,3,1,0,1
114,865,19.081175,72.84143900000001,2,2,0,1,0,0,0,1,1,0
115,1280,19.2050017,72.86927109999999,3,3,0,1,0,0,0,1,1,0
116,750,19.18045,72.94293,2,2,1,1,0,1,1,1,0,1
117,900,19.1629924,72.83930190000001,3,2,0,1,0,0,0,1,0,1
118,850,19.470854,72.80226,2,2,2,1,0,2,2,1,0,1
119,1185,19.129737854003903,72.82915496826172,3,2,0,1,0,0,0,0,0,1
120,1250,19.234639,73.16113399999999,2,2,2,1,1,2,2,1,0,1
121,1050,19.07072639465332,72.83612823486328,2,2,0,1,0,0,0,1,0,1
122,1111,19.0327996,72.89635679999999,2,2,0,1,0,0,0,1,1,0
123,1050,19.205001831054688,72.86927032470703,3,2,0,1,1,0,0,1,0,1
124,800,19.225801467895508,73.146484375,2,2,0,1,0,0,0,1,0,0
125,730,19.230902,72.828532,2,2,2,1,0,2,2,1,0,1
126,1155,19.27375609,72.86908432,2,2,0,1,0,0,0,1,0,1
127,1600,18.962668,72.80278299999999,3,3,0,1,0,0,0,1,0,0
128,912,19.171175,72.94032800000001,3,3,0,1,1,0,0,1,0,1
129,1420,19.1275548,72.8422628,3,2,0,1,0,0,0,1,0,1
130,1360,19.12021420298,72.9299633704782,3,3,0,1,0,0,0,1,0,1
131,915,19.217309263073,72.8705672146112,2,2,2,1,0,2,2,1,0,1
132,1050,19.20159,72.81882,2,2,0,1,0,0,0,1,0,0
133,920,19.060678,72.87861600000001,2,2,2,1,0,2,2,1,0,1
134,1240,19.191376001597305,72.8374031583782,3,3,0,1,0,0,0,1,0,1
135,1750,19.17074086970388,72.94742109999993,3,3,0,1,0,0,0,1,0,1
136,900,19.1373633,72.8318507,2,2,0,1,0,0,0,1,1,0
137,1940,19.16703502,72.88127374,3,3,0,1,0,0,0,1,0,1
138,1100,19.17398834228516,72.96422576904297,2,2,3,1,0,3,3,1,0,1
139,675,19.1368277,72.8441668,2,2,1,1,1,1,1,1,0,1
140,1250,19.11132745,72.90133335,3,3,1,1,0,1,1,1,0,1
141,1000,19.13662,72.93666999999999,2,2,0,1,0,0,0,1,0,0
142,800,19.459599,72.816424,2,2,0,1,0,0,0,1,1,0
143,1150,19.209943771362305,72.83087158203125,2,2,2,1,0,2,2,1,0,1
144,1200,19.068050384521484,72.89604949951172,3,2,1,1,0,1,1,1,0,1
145,720,19.298435,72.85959,2,2,0,1,0,0,0,1,0,1
146,1300,19.120089,72.845488,3,3,0,1,0,0,0,1,0,0
147,1500,19.05522918701172,72.83082580566406,2,2,0,1,1,0,0,1,0,0
148,1015,19.0158306,72.82939209999999,2,2,0,1,0,0,0,0,0,1
149,550,19.040233,72.8601801,2,2,0,1,0,0,0,1,0,0
150,900,19.2050017,72.86927109999999,2,2,0,1,0,0,0,1,1,0
151,795,19.28217,72.87654,3,2,1,1,0,1,1,1,0,1
152,935,19.228849,72.84883,2,2,0,1,0,0,0,1,0,1
153,1200,19.112232,72.841666,2,2,0,1,0,0,0,1,0,1
154,1170,19.1054406,72.8411208,3,4,0,1,0,0,0,1,0,0
155,865,19.13844,72.812187,2,2,0,1,0,0,0,1,1,0
156,1170,19.14413,72.8241,3,3,0,1,0,0,0,1,0,0
157,1232,19.100385665893555,72.8504638671875,3,3,0,1,0,0,0,1,1,0
158,750,19.1154908,72.87269520000001,2,2,0,1,0,0,0,1,1,0
159,672,18.9953333,72.8300383,2,2,1,1,1,1,1,1,0,1
160,850,19.19576,72.83778000000001,2,2,0,1,0,0,0,1,1,0
161,870,19.1654181,72.9667254,2,2,0,1,0,0,0,1,0,1
162,1200,19.16541862487793,72.96672821044922,3,3,4,1,0,4,4,0,0,1
163,1060,19.16664,72.835254,2,2,0,1,0,0,0,1,0,1
164,1030,19.27584635,72.87033299,2,2,2,1,0,2,2,1,0,1
165,845,19.072083291847104,72.8263353132757,2,2,0,1,0,0,0,1,0,1
166,1016,19.055229,72.83082900000001,2,2,3,1,0,3,3,1,1,0
167,1400,19.2099437,72.83086920000001,4,4,0,1,0,0,0,1,0,0
168,875,19.4540588,72.7688226,2,2,0,1,0,0,0,1,0,0
169,1780,19.18045,72.94293,4,4,7,1,0,7,7,1,0,1
170,1350,19.2143593,72.8635757,3,3,0,1,0,0,0,1,0,1
171,725,19.13832,72.81002,2,2,0,1,0,0,0,1,0,0
172,1100,19.155994,72.847275,3,3,1,1,1,1,1,1,0,1
173,620,19.28998,72.79180799999999,2,2,1,1,0,1,1,1,0,1
174,1688,19.15578269958496,72.88719940185547,3,3,1,1,0,1,1,1,0,1
175,1600,19.0682805,72.82919,3,4,0,1,0,0,0,1,0,1
176,1050,19.1889733,72.8220064,2,2,0,1,0,0,0,1,0,0
177,800,19.1988214,72.8701056,2,2,0,1,0,0,0,1,0,1
178,860,19.1889733,72.8220064,2,2,0,1,0,0,0,1,0,1
179,650,19.08565,72.90822,2,2,0,1,0,0,0,1,0,1
180,920,19.058354100000003,72.8802798,2,2,2,1,0,2,2,1,0,1
181,800,19.3093926,72.8485939,2,2,0,1,0,0,0,1,0,0
182,660,19.1297376,72.8291555,2,2,0,1,0,0,0,1,0,0
183,1010,19.1590077,72.86927109999999,2,2,0,1,0,0,0,1,0,1
184,600,19.18546,72.82066999999999,2,2,1,1,0,1,1,1,0,1
185,764,19.153299,72.88662099999999,2,2,1,1,0,1,1,1,0,1
186,1850,19.01829,72.83407700000001,3,3,0,1,0,0,0,0,0,1
187,1050,19.073390300000003,72.8654319,2,2,0,1,1,0,0,1,0,1
188,600,19.0151285,72.8580644,2,2,1,1,1,1,1,1,1,0
189,968,19.147269,72.848351,3,3,0,1,1,0,0,1,0,1
190,1050,19.2834411,72.882751,2,2,0,1,0,0,0,1,0,1
191,870,19.248775,72.855005,2,2,0,1,0,0,0,1,0,1
192,1233,19.1476838975787,72.9345592459361,2,2,1,1,1,1,1,1,0,1
193,1000,19.151461,72.941653,2,2,0,1,0,0,0,1,0,1
194,1850,19.2335321,72.839198,4,4,6,1,1,6,6,1,0,1
195,940,19.070619583129886,72.90352630615234,2,2,1,1,0,1,1,0,1,0
196,800,19.18546,72.82066999999999,2,2,0,1,1,0,0,1,0,1
197,693,19.06477928161621,73.04431915283203,2,2,1,1,1,1,1,1,1,0
198,1765,19.2099437,72.83086920000001,3,3,0,1,0,0,0,1,0,1
199,1200,19.0327996,72.89635679999999,2,2,4,1,0,4,4,1,0,1
200,820,19.20159,72.81882,2,2,0,1,0,0,0,1,0,0
201,1690,19.2373371,72.87043829999999,3,4,0,1,0,0,0,1,0,1
202,900,19.12021420298,72.9299633704782,2,2,0,1,0,0,0,0,0,1
203,1017,19.295849,72.868476,2,2,4,1,1,4,4,1,0,1
204,900,19.28580666666669,72.8729566666667,2,2,0,1,0,0,0,1,0,1
205,700,19.1297376,72.8291555,2,2,1,1,0,1,1,1,0,1
206,714,19.166970000000003,72.83154,2,2,0,1,0,0,0,1,0,1
207,882,19.26231203,72.87409673,2,2,1,1,0,1,1,1,0,1
208,607,19.2335321,72.839198,2,2,0,1,0,0,0,1,0,1
209,550,19.0472012,72.8722249,2,2,0,1,0,0,0,1,1,0
210,1100,19.4540588,72.7688226,2,2,0,1,0,0,0,1,1,0
211,930,19.0561802,72.9080628,2,2,0,1,0,0,0,1,0,1
212,1200,19.0627565,72.8545019,2,2,0,1,0,0,0,1,0,0
213,880,19.055229,72.83082900000001,2,3,0,1,0,0,0,1,0,1
214,1200,19.3104714,72.8452862,3,3,0,1,0,0,0,1,0,1
215,955,19.03731,72.87871,2,2,3,1,1,3,3,1,0,1
216,817,19.1654181,72.9667254,2,2,0,1,0,0,0,1,0,0
217,1040,18.9790647,72.83884990000001,2,2,0,1,0,0,0,1,0,1
218,1165,19.2100762,72.8650676,2,2,3,1,0,3,3,1,0,1
219,875,19.1654181,72.9667254,2,2,0,1,0,0,0,1,1,0
220,1000,19.068050384521484,72.89604949951172,2,2,0,1,0,0,0,1,0,1
221,1150,19.129737854003903,72.82915496826172,3,2,3,1,0,3,3,1,0,1
222,850,18.950754,72.80206379999998,2,2,0,1,0,0,0,1,1,0
223,750,19.168585,72.939758,2,2,0,1,0,0,0,1,0,1
224,1100,18.9900111,72.8350396,2,2,0,1,1,0,0,1,0,1
225,1700,18.9542861,72.801325,2,3,1,1,0,1,1,1,0,0
226,1250,18.965076446533203,72.83099365234375,2,2,0,1,0,0,0,1,1,0
227,690,19.032798767089844,72.89635467529297,2,2,0,1,0,0,0,1,0,1
228,1496,19.0621455334278,72.89429255264979,2,2,3,1,0,3,3,1,0,1
229,750,19.159226,72.932291,2,2,0,1,1,0,0,1,0,1
230,800,19.230865478515625,73.07137298583984,2,2,0,1,0,0,0,1,1,0
231,1275,19.207013957875898,72.87943298291121,3,3,1,1,0,1,1,1,0,1
232,1150,19.227678298950195,72.84342193603516,2,2,0,1,1,0,0,1,0,1
233,930,19.285007,72.871962,2,2,4,1,0,4,4,1,1,0
234,700,19.032798767089844,72.89635467529297,2,2,1,1,1,1,1,1,1,0
235,1900,19.0627555847168,72.85449981689453,3,3,4,1,0,4,4,1,0,0
236,1300,19.0504924,72.8906205,3,3,0,1,0,0,0,1,0,1
237,760,19.2987966666667,72.8722083333333,2,2,1,1,0,1,1,1,0,1
238,600,19.282169342041016,72.87654113769531,2,2,0,1,0,0,0,1,1,0
239,1150,19.21034034,72.84053540000001,3,3,2,1,0,2,2,1,0,1
240,1768,19.153724,72.844521,3,3,0,1,0,0,0,1,0,1
241,850,19.39954,72.8604165,2,2,0,1,0,0,0,1,0,1
242,800,19.153299,72.88662099999999,2,2,2,1,0,2,2,1,0,1
243,850,19.443851,72.795373,2,2,2,1,0,2,2,1,0,1
244,1200,18.96249,72.81748,2,3,0,1,0,0,0,0,1,0
245,650,19.17067,72.93618000000001,2,2,0,1,0,0,0,1,1,0
246,700,19.090567,72.834885,2,2,0,1,0,0,0,1,0,1
247,1206,19.0430729,72.840565,2,2,0,1,0,0,0,1,0,1
248,850,19.0327996,72.89635679999999,2,2,0,1,0,0,0,1,1,0
249,1120,19.2987966666667,72.8722083333333,2,2,1,1,0,1,1,1,0,1
250,1412,19.06680489,72.85129455,2,2,1,1,0,1,1,1,0,1
251,850,19.2539332,72.8672448,2,2,0,1,0,0,0,1,0,0
252,997,19.1181,72.89485,2,2,1,1,0,1,1,1,0,1
253,1140,19.081175,72.84143900000001,3,3,0,1,0,0,0,1,1,0
254,1755,19.218124,72.994126,3,3,2,1,0,2,2,1,1,0
255,525,19.071989,72.88408199999999,2,2,0,1,0,0,0,1,0,1
256,1100,19.234639,73.16113399999999,2,2,0,1,0,0,0,1,1,0
257,750,19.2308654,73.0713733,2,2,0,1,0,0,0,1,1,0
258,935,19.46829575,72.79722734,2,2,0,1,0,0,0,1,0,1
259,1530,19.209943771362305,72.83087158203125,3,3,4,1,0,4,4,1,0,0
260,880,19.29443,72.8783283333333,2,2,4,1,0,4,4,1,0,1
261,1200,19.21404838562012,72.85497283935547,3,4,0,1,0,0,0,1,1,0
262,800,19.2335321,72.839198,2,2,3,1,0,3,3,1,1,0
263,900,19.29680689,72.87753801,2,2,0,1,0,0,0,1,0,1
264,1250,19.0128091,72.851598,3,2,1,1,0,1,1,1,0,1
265,1667,19.117154,72.856063,3,3,3,1,0,3,3,1,0,1
266,845,19.22889,72.82409,2,2,0,1,0,0,0,1,0,1
267,1500,19.116129,72.82195899999999,2,2,0,1,0,0,0,1,0,1
268,1440,19.13678359985352,72.86386108398438,3,3,4,1,0,4,4,0,0,0
269,1100,19.20771,72.86777,2,2,1,1,1,1,1,1,0,1
270,853,19.1988214,72.8701056,2,2,0,1,0,0,0,0,0,1
271,1200,19.28217,72.87654,2,2,0,1,0,0,0,1,0,0
272,1200,19.136807,72.930675,2,2,0,1,0,0,0,1,0,1
273,1660,19.25067708,72.84599967,3,3,5,1,0,5,5,1,0,1
274,738,19.227331161499023,72.86373138427734,2,2,0,1,0,0,0,1,1,0
275,850,19.13141,72.83313000000001,2,2,0,1,0,0,0,0,1,0
276,750,19.36511,72.860371,2,2,1,1,0,1,1,1,0,1
277,649,19.096202,72.919057,2,2,0,1,0,0,0,1,0,1
278,750,19.141978,72.812312,2,2,0,1,0,0,0,0,0,1
279,1140,19.0799983,72.8545019,3,2,0,1,0,0,0,1,1,0
280,680,19.0893,72.88604000000001,2,2,0,1,0,0,0,1,0,1
281,840,19.39954,72.8604165,2,2,3,1,0,3,3,1,1,0
282,1400,19.1297376,72.8291555,4,3,0,1,0,0,0,1,0,1
283,1750,19.0815087,72.8376755,3,4,2,1,0,2,2,0,0,1
284,1005,19.2050017,72.86927109999999,2,2,0,1,0,0,0,1,1,0
285,1400,19.2273218,72.8590594,4,4,0,1,0,0,0,1,0,1
286,820,19.209943771362305,72.83087158203125,3,2,0,1,0,0,0,1,1,0
287,1012,19.1489765,72.8390443,2,2,0,1,1,0,0,1,0,1
288,1040,19.2009227301487,72.8629409971622,2,2,3,1,0,3,3,1,0,1
289,1200,19.163222,72.849581,3,3,0,1,0,0,0,1,0,1
290,1755,19.191842,72.83458123,3,4,0,1,0,0,0,1,0,1
291,909,19.220612,72.864144,2,2,0,1,0,0,0,1,0,1
292,1425,19.2099437,72.83086920000001,3,3,0,1,0,0,0,1,0,0
293,770,19.149901,72.931134,2,2,0,1,0,0,0,1,0,0
294,680,19.19576,72.83778000000001,2,2,0,1,0,0,0,1,0,1
295,1050,19.06427955627441,72.89292907714844,2,2,3,1,0,3,3,1,0,1
296,1100,19.062289,72.9100105,2,2,0,1,0,0,0,1,0,1
297,800,19.131888,72.85563,2,2,0,1,0,0,0,1,0,1
298,1100,19.2335321,72.839198,2,2,0,1,0,0,0,1,0,0
299,1550,19.1888050334824,72.8387497112234,3,3,1,1,0,1,1,1,0,1
300,1250,19.0013826,72.84845279999999,2,2,0,1,0,0,0,1,0,1
301,700,19.21102,72.87172,2,2,0,1,0,0,0,1,0,1
